0,Native Gold Nugget,0,0,999
1,Native Silver Nugget,0,0,999
2,Native Copper Nugget,0,0,999
3,Native Iron Nugget,0,0,999
4,Sulphur,0,0,999
5,Pyrite,0,0,999
6,Chalcopyrite,0,0,999
7,Sphalerite,0,0,999
8,Stibnite,0,0,999
9,Cinnabar,0,0,999
10,Realgar,0,0,999
11,Galena,0,0,999
12,Hematite,0,0,999
13,Spinel,0,0,999
14,Magnetite,0,0,999
15,Illmenite,0,0,999
16,Chromite,0,0,999
17,Cassiterite,0,0,999
18,Rutile,0,0,999
19,Uraninite,0,0,999
20,Goethite,0,0,999
21,Malachite,0,0,999
22,Wolframite,0,0,999
23,Wulfenite,0,0,999
24,Carnotite,0,0,999
25,Borax,0,0,999
26,Anhydrite,0,0,999
27,Breccia,0,0,999
28,Conglomerate,0,0,999
29,Arkose,0,0,999
30,Greywacke,0,0,999
31,Siltstone,0,0,999
32,Sandstone,0,0,999
33,Claystone,0,0,999
34,Mudstone,0,0,999
35,Shale,0,0,999
36,Loess,0,0,999
37,Limestone,0,0,999
38,Sillimanite,0,0,999
39,Kyanite,0,0,999
40,Staurolite,0,0,999
41,Talc,0,0,999
42,Skarn,0,0,999
43,Serpentinite,0,0,999
44,Marble,0,0,999
45,Hornfels,0,0,999
46,Migmatite,0,0,999
47,Slate,0,0,999
48,Phyllite,0,0,999
49,Quartzite,0,0,999
50,Schist,0,0,999
51,Gneiss,0,0,999
52,Eclogite,0,0,999
53,Granulite,0,0,999
54,Amphibolite,0,0,999
55,Mylonite,0,0,999
56,Granite,0,0,999
57,Pegmatite,0,0,999
58,Grandiorite,0,0,999
59,Dolerite,0,0,999
60,Gabbro,0,0,999
61,Diorite,0,0,999
62,Lamprophyre,0,0,999
63,Basalt,0,0,999
64,Dacite,0,0,999
65,Obsidian,0,0,999
66,Andesite,0,0,999
67,Rhyolite,0,0,999
68,Tar,0,0,999
69,Peat,0,0,999
70,Anthracite,0,0,999
71,Bituminous Coal,0,0,999
72,Lignite,0,0,999
73,Gemstone,0,0,999
74,Salt,0,0,999
